 
                                                                                                                                                                                                                                                                
 
                                                          exercise_    index_                   last_                            best_              strike_
 optionid          issuer              date    cp_flag      style       flag       exdate        date     secid    best_bid      offer    volume     price
134227959    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200717    108105      321.60     325.60         0    3020000
129372865    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200903    108105      316.70     320.30         0    3025000
134227960    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200827    108105      312.00     316.00         0    3030000
134592283    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200901    108105      307.30     311.00         0    3035000
134227961    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200901    108105      302.50     306.50         0    3040000
134592284    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200819    108105      297.70     301.30         0    3045000
129372866    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200908    108105      293.00     296.60         1    3050000
134592285    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200903    108105      288.40     292.30         0    3055000
134227962    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200828    108105      283.70     287.60         0    3060000
134592286    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200716    108105      279.00     282.90         0    3065000
134227963    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200903    108105      274.20     277.80         0    3070000
129372867    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200908    108105      269.50     273.10         2    3075000
134227964    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200901    108105      265.00     268.90         0    3080000
134592287    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200831    108105      260.20     263.80         0    3085000
134227965    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200908    108105      255.60     259.20         1    3090000
134592288    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200831    108105      251.00     254.50         0    3095000
129372868    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200908    108105      246.40     249.90        11    3100000
134592289    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200903    108105      241.80     245.30         0    3105000
134227966    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200908    108105      237.40     241.20        12    3110000
134592290    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200903    108105      232.70     236.20         0    3115000
134227967    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200904    108105      228.30     232.10         0    3120000
129372869    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200903    108105      223.60     227.10         0    3125000
134227968    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200904    108105      219.10     222.60         0    3130000
134592291    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200827    108105      214.80     218.50         0    3135000
134227969    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200902    108105      210.20     213.60         0    3140000
134592292    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200902    108105      205.90     209.60         0    3145000
129372870    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200904    108105      201.50     205.20         0    3150000
134592293    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200908    108105      197.10     200.70         3    3155000
134286492    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200908    108105      192.70     196.10        27    3160000
134592294    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200908    108105      188.20     191.60        15    3165000
134286493    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200904    108105      183.90     187.30         0    3170000
129372871    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200908    108105      179.60     182.90         3    3175000
134286494    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200908    108105      175.30     178.60        17    3180000
134592295    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200826    108105      171.10     174.40         0    3185000
134286495    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200908    108105      167.00     170.50         2    3190000
134592296    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200904    108105      162.70     166.00         0    3195000
